Channel,Customer_Segment,Spend,Revenue,Conversions,ROAS_calc
Affiliate,HighValue,51287.09,21490965.32,11507,419.03265168680855
Affiliate,New,230668.68,27437624.29,31404,118.94820003305173
Affiliate,Returning,318684.29,43077391.83,39266,135.17262438634802
Display,HighValue,91937.62,3744856.8200000003,1893,40.732583897647125
Display,New,282637.92,3704562.25,4203,13.107095643783397
Display,Returning,235547.73,4316362.98,3905,18.324791242946812
Email,HighValue,53096.87,77267643.16,39981,1455.2203013096628
Email,New,236393.76,71622713.95,82157,302.9805606966952
Email,Returning,127686.23,55363196.75,47316,433.58784067788673
Search,HighValue,43564.35,18685322.73,10244,428.91315330080675
Search,New,231856.2,32732605.38,37406,141.17632127154675
Search,Returning,187851.54,35933603.42,30800,191.2872442781145
Social,HighValue,102176.43,18180838.41,9528,177.93573733198548
Social,New,233372.36,13308983.75,15416,57.02896328425526
Social,Returning,236940.06,15410682.98,14015,65.04042828384529
