Topology,NeName,NeType,NeIP,FRAME,SLOT,PORT,ONUID,ONUTYPE,Terminal Type,Ranging(m),Temperature(C),Biascurrent(mA),TxOpticalPower(dBm),RxOpticalPower(dBm),OLTRxONUOpticalPower(dBm),ModuleType,ModuleSubtype
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,1,GPON,HG8010Hv6,3748,48,8,2.03,-23.66,-25.53,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,13,GPON,HG8010H,3762,44,16,2.28,-24.68,-25.69,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,15,GPON,HG8010H,3382,52,15,2.27,-19.74,-22.01,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,21,GPON,HG8010H,655,60,11,1.99,-20.86,-21.37,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,23,GPON,HG8010H,465,55,10,2.24,-18.21,-18.7,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,27,GPON,HG8145V5,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,3,GPON,HG8010H,1823,40,15,2.22,-20.45,-19.71,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,38,GPON,HG8245H,111,40,15,2.02,-18.41,-19.67,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,47,GPON,HG8010H,486,55,10,2.07,-23.28,-24.56,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,52,GPON,HG8010H,624,39,14,2.2,-17.69,-19.21,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,67,GPON,HG8010H,726,55,22,2.19,-18.15,-19.07,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,69,GPON,HG8010Hv6,547,55,12,2.29,-17.1,-19.07,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,70,GPON,HG8010Hv6,580,56,9,2.07,-22.07,-19.88,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,8,GPON,HG8145V5,1802,48,15,2.32,-19.2,-19.67,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,81,GPON,MA5671,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,82,GPON,MA5671,115,34,7,2.12,-20.91,-22.15,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,83,GPON,MA5671,377,41,8,2.27,-22.67,-22.68,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,84,GPON,MA5671,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,85,GPON,MA5671,152,40,8,1.92,-21.48,-21.31,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,86,GPON,MA5671,454,37,8,2.05,-18.35,-18.36,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,87,GPON,MA5671,721,41,8,1.99,-18.15,-18.64,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,88,GPON,HG8245H,852,47,14,2.27,-18.44,-18.93,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,90,GPON,MA5671,252,43,9,1.97,-21.8,-23.47,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,93,GPON,MA5671,669,41,8,2.45,-20.97,-22.52,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,94,GPON,MA5671,579,42,10,1.92,-26.77,-27.22,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,95,GPON,MA5671,408,44,12,2.29,-21.87,-22.52,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,96,GPON,MA5671,787,43,9,2.17,-21.08,-22.52,GPON/EPON,Class B+ and PX20+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,0,97,GPON,MA5671,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,1,GPON,HG8010Hv6,2142,50,6,2.2,-22.22,-23.88,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,13,GPON,HG8010Hv6,2383,49,8,1.94,-24.81,-25.23,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,14,GPON,HG8245H,7138,51,15,2.15,-24.56,-25.23,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,16,GPON,HG8145V5,1310,52,16,2.18,-22.29,-23.98,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,17,GPON,HG8245H,2378,53,16,2.27,-26.02,-26.39,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,19,GPON,HG8010H,2582,44,7,2.16,-24.56,-25.86,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,2,GPON,HG8010H,2758,53,10,2.33,-27.21,-27.22,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,21,GPON,HG8010H,6777,54,18,2.33,-24.68,-26.39,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,22,GPON,HG8145V5,2690,36,10,2.32,-24.09,-24.21,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,23,GPON,HG8240,2408,40,9,2.22,-23.28,-25.53,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,26,GPON,HG8245H,2514,35,12,1.89,-24.56,-23.88,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,28,GPON,HG8010H,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,3,GPON,HG8010H,6719,53,18,2.18,-23.87,-25.69,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,31,GPON,HG8145V5,2334,61,22,2.39,-24.56,-24.95,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,32,GPON,HG8245,989,48,12,2.3,-20.22,-23.38,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,38,GPON,HG8145V5,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,39,GPON,HG8010H,841,44,15,2.31,-23.1,-23.19,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,40,GPON,HG8010H,2457,36,14,2.22,-29.58,-26.2,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,41,GPON,HG8145V5,--,--,--,--,--,--,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,42,GPON,HG8240,2182,54,12,2.22,-22.36,-24.82,GPON,CLASS B+
Physical Root/South/Phuket,สต.ภูเก็ต1NT1_10.160.46.131,MA5608T,10.160.46.131,0,0,1,43,GPON,HG8245H,6651,43,13,2.12,-25.08,-26.78,GPON,CLASS B+
